ds,pi,gap,nr_acc,gain,nV,nS,follow,ok
gpqa_extended,30595,0.15625,0.25,0.0,1,4,0.15625,False
gpqa_extended,30596,0.23125,0.25,-0.2,0,9,0.28125,False
gpqa_extended,30597,0.46875,0.0,1.0,8,7,0.46875,False
gpqa_extended,30598,0.0,0.25,0.7,0,0,0.0,False
gpqa_extended,30599,0.0625,0.125,0.825,0,2,0.0625,False
gpqa_extended,30600,0.0,0.75,0.25,0,0,0.0,False
gpqa_extended,30601,0.024999999999999994,0.0,0.1,2,2,0.125,False
gpqa_extended,30602,0.056249999999999994,0.75,0.15000000000000002,0,5,0.15625,False
gpqa_extended,30603,0.125,0.25,0.65,1,3,0.125,False
gpqa_extended,30604,0.03125,0.0,0.7,1,0,0.03125,False
gpqa_extended,30605,0.25,0.0,0.0,6,2,0.25,False
gpqa_extended,30606,0.30625,0.0,0.0,10,3,0.40625,False
gpqa_extended,30607,-0.024999999999999994,0.75,-0.19999999999999996,1,3,0.125,False
gpqa_extended,30608,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30609,0.23125,0.0,0.0,6,3,0.28125,False
gpqa_extended,30610,0.0625,0.0,0.75,1,1,0.0625,False
gpqa_extended,30611,0.018750000000000044,0.0,0.0,31,0,0.96875,False
gpqa_extended,30612,0.125,0.125,0.775,4,0,0.125,False
gpqa_extended,30613,0.0,0.0,0.4,0,0,0.0,False
gpqa_extended,30614,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30615,0.0,0.125,0.825,0,0,0.0,False
gpqa_extended,30616,0.2625,0.0,0.0,1,17,0.5625,False
gpqa_extended,30617,0.2,0.0,0.6,1,7,0.25,False
gpqa_extended,30618,0.2375,0.0,0.4,8,6,0.4375,False
gpqa_extended,30619,0.0,0.75,0.25,0,0,0.0,False
gpqa_extended,30620,0.0,0.75,0.15000000000000002,0,0,0.0,False
gpqa_extended,30621,0.30625,0.0,0.05,7,6,0.40625,False
gpqa_extended,30622,0.13124999999999998,0.0,0.2,7,10,0.53125,False
gpqa_extended,30623,0.0,0.5,0.5,0,0,0.0,False
gpqa_extended,30624,0.9375,0.0,0.0,16,14,0.9375,False
gpqa_extended,30625,0.0,0.25,0.65,0,0,0.0,False
gpqa_extended,30626,0.15625,0.625,0.025000000000000022,2,11,0.40625,False
gpqa_extended,30627,0.18125,0.375,-0.325,0,9,0.28125,False
gpqa_extended,30628,0.1875,0.625,-0.375,0,6,0.1875,False
gpqa_extended,30629,0.04375,0.5,-0.25,1,2,0.09375,False
gpqa_extended,30630,0.15625,0.375,0.125,5,0,0.15625,False
gpqa_extended,30631,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30632,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30633,0.1875,0.625,-0.125,1,5,0.1875,False
gpqa_extended,30634,0.23125,0.0,0.25,1,16,0.53125,False
gpqa_extended,30635,0.0625,0.375,-0.225,2,0,0.0625,False
gpqa_extended,30636,0.0,0.0,0.95,0,0,0.0,False
gpqa_extended,30637,0.0,0.875,0.125,0,0,0.0,False
gpqa_extended,30638,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30639,0.0,0.125,0.875,0,0,0.0,False
gpqa_extended,30640,-0.024999999999999994,0.0,0.25,3,1,0.125,False
gpqa_extended,30641,0.0,0.25,-0.25,0,0,0.0,False
gpqa_extended,30642,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30643,0.08125000000000004,1.0,-0.9,1,24,0.78125,False
gpqa_extended,30644,0.0,0.25,-0.1,0,0,0.0,False
gpqa_extended,30645,0.0,0.5,0.09999999999999998,0,0,0.0,False
gpqa_extended,30646,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30647,0.55,0.0,0.15,0,24,0.75,False
gpqa_extended,30648,0.21875,0.25,0.5,4,3,0.21875,False
gpqa_extended,30649,0.0,0.5,0.44999999999999996,0,0,0.0,False
gpqa_extended,30650,0.11875000000000002,0.25,0.0,1,22,0.71875,False
