ds,pi,ridx,label,n,n_tokens,kurt,ent_all,ent_focused
mmlu,21,13,silent,31,644,19.03374481201172,0.6288556456565857,0.2298542708158493
mmlu,21,14,verbalizing,90,1619,81.00171661376953,0.7692429423332214,0.15923142433166504
mmlu,21,15,silent,21,483,12.05103588104248,0.5558338165283203,0.12640848755836487
mmlu,21,17,silent,52,944,43.01752471923828,0.6952112913131714,0.15575501322746277
mmlu,21,19,verbalizing,37,681,28.02651023864746,0.6747490167617798,0.18442939221858978
mmlu,21,2,verbalizing,54,1077,42.08386993408203,0.7289858460426331,0.12514197826385498
mmlu,21,5,silent,18,479,9.050535202026367,0.5925896167755127,0.19807890057563782
mmlu,21,6,silent,46,949,37.021461486816406,0.735937237739563,0.08252948522567749
mmlu,21,7,verbalizing,47,956,38.007850646972656,0.7114707231521606,0.10630501806735992
mmlu,23,0,verbalizing,26,611,17.01846694946289,0.9570274949073792,0.3352474570274353
mmlu,23,1,silent,31,628,17.395021438598633,0.8782094120979309,0.21800434589385986
mmlu,23,10,silent,18,403,8.733964920043945,0.7955518960952759,0.15162062644958496
mmlu,23,11,silent,29,778,20.041126251220703,0.8246843218803406,0.09954874217510223
mmlu,23,12,silent,34,699,24.706287384033203,0.8499968647956848,0.22466988861560822
mmlu,23,13,silent,21,499,11.965021133422852,0.6672275066375732,0.14070768654346466
mmlu,23,14,silent,20,474,10.022197723388672,0.7733394503593445,0.17933285236358643
mmlu,23,15,silent,31,606,21.934219360351562,0.7680777907371521,0.15392865240573883
mmlu,23,16,silent,25,538,9.158478736877441,0.7655371427536011,0.2557465136051178
mmlu,23,17,verbalizing,28,681,19.04156494140625,0.9029249548912048,0.15429675579071045
mmlu,23,18,silent,11,236,2.1648499965667725,0.6076442003250122,0.16565488278865814
mmlu,23,19,silent,27,616,13.223727226257324,0.8622925281524658,0.22843801975250244
mmlu,23,2,silent,22,491,8.19935417175293,0.8983022570610046,0.30520159006118774
mmlu,23,3,silent,23,470,13.993963241577148,0.6384235620498657,0.16024181246757507
mmlu,23,4,verbalizing,30,674,13.656784057617188,0.973511278629303,0.3486064374446869
mmlu,23,5,silent,32,672,13.785662651062012,0.8583036065101624,0.2849348187446594
mmlu,23,6,verbalizing,26,688,16.90243911743164,0.917019784450531,0.1417628526687622
mmlu,23,7,verbalizing,27,636,17.853607177734375,0.9384384751319885,0.11450294405221939
mmlu,23,8,verbalizing,25,562,11.867117881774902,0.9317456483840942,0.32959941029548645
mmlu,23,9,silent,19,430,7.357357025146484,0.6367990970611572,0.22824716567993164
mmlu,27,0,silent,31,625,16.113069534301758,0.9582045078277588,0.29712533950805664
mmlu,27,1,silent,20,457,10.066380500793457,0.9100720882415771,0.32156404852867126
mmlu,27,10,verbalizing,45,862,33.403419494628906,0.9464322328567505,0.2791055142879486
mmlu,27,12,silent,20,464,8.34804630279541,0.7624173760414124,0.20815828442573547
mmlu,27,13,silent,23,493,14.054837226867676,0.7213945984840393,0.08873847872018814
mmlu,27,14,silent,20,399,11.065906524658203,0.6344375610351562,0.11308443546295166
mmlu,27,15,silent,26,525,17.04612922668457,0.6851630806922913,0.1337224543094635
mmlu,27,16,silent,26,464,16.227067947387695,0.6178675889968872,0.15534599125385284
mmlu,27,17,silent,25,508,11.308793067932129,0.7738928198814392,0.15812893211841583
mmlu,27,18,silent,30,539,19.132360458374023,0.8189717531204224,0.2493518590927124
mmlu,27,19,silent,23,442,10.106328964233398,0.9602217078208923,0.3345416784286499
mmlu,27,2,verbalizing,19,424,5.789695739746094,0.7779014706611633,0.29682838916778564
mmlu,27,3,silent,23,471,11.67977237701416,0.7399564385414124,0.24691469967365265
mmlu,27,4,verbalizing,20,379,11.007078170776367,0.7334156036376953,0.17699894309043884
